"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"AFG","Afghanistan",877.01426830392,877.01426830392,877.01426830392,877.01426830392,877.01426830392,877.01426830392,877.01426830392,877.01426830392,927.857548047018,925.441429176842,1023.05174932878,1077.76153966077,1228.70386342946,1272.57297477768,1519.69292278438,1710.57541109225,1699.48811019742,1914.77422837964,2015.51477466948,2069.42402167356,2087.30532306683,1981.11806850696,2058.4002210698,2082.63564821362,2152.3664894209,2078.64861450906
"ALB","Albania",2664.37301811108,2978.50845068672,2717.6443480695,3021.04157736341,3471.66150890924,3860.80462705845,4299.54649293767,4661.40269532788,5000.04936305629,5427.73266241123,5865.30190379844,6566.57282794654,7283.34263812006,8228.34804111345,8813.02946080293,9628.72196177826,10207.7675731705,10526.2591833762,10570.963733047,11259.2675137673,11658.9055171112,12078.8431361843,12770.9642910053,13498.1165268196,13998.0256546027,13412.0972804773
"DZA","Algeria",7078.35117951258,7373.07499715188,7465.89958356471,7816.77214903166,8068.2966884468,8446.58774102862,8775.11790745312,9293.83714349081,10019.3578919395,10591.0381897757,11405.6425223873,11776.0404022627,12311.0384280957,12643.1514779138,12722.3786946243,13095.449178663,13500.0447902878,13303.3275185881,13056.8025915699,13003.2668603131,12015.6405282427,11624.3407751545,11737.4012353821,11909.9298247204,12009.248207942,11324.2358133821
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",2649.36112085334,2966.383322399,3136.51628626983,3215.10561889009,3226.1281422107,3289.40954946819,3389.19696691951,3785.1503220062,3838.7950524777,4225.4679269176,4837.70982676046,5362.01984289893,6050.61055453052,6607.29163426752,6470.67524420331,6587.98693898257,6710.75062298751,7412.96703464311,7682.47538648506,8179.29782812609,7337.56982204938,7103.22643061091,7310.89658895511,7099.97195809928,6952.41936236851,6445.43287270595
"ATG","Antigua and Barbuda",13221.9493357343,14045.649274412,14757.1243071288,15306.5048821576,15789.4351996682,16843.1216095067,16173.3262222136,16367.734900892,17458.8837289464,18718.3707760024,20269.690993938,23180.4007139502,25613.5465027525,25690.689492805,22435.3937041743,20611.4457775542,20347.8684831466,19598.0238599601,18797.6263678382,19039.0045029811,18911.3068944389,19920.2657838504,19840.2840357027,21521.8850511088,22774.1742001371,18241.868195762
"ARG","Argentina",9963.36090231541,10579.4772698476,11507.8954146611,11949.4186592024,11581.8905140722,11618.7932334926,11226.8797464943,10052.4882560869,11025.1860988296,12214.7407113551,13568.7692061284,14951.7289508076,16570.0078336983,17404.0691420333,16334.7408131075,18061.9343589164,19322.2271236942,19641.3528638347,20131.6804246983,19683.7715056442,20105.1989918165,20307.870052142,23597.117752839,23293.3986337639,22999.2750525577,20770.7264196415
"ARM","Armenia",1817.14826334888,1989.33572769927,2115.61704374486,2313.61779300261,2439.91275322368,2658.34432173041,2995.90884550107,3463.98606346213,4043.65506161727,4614.86980387949,5455.43499457867,6411.81964016089,7551.64363563305,8300.49198824733,7233.03992810233,7506.32190855914,8025.4584849173,9364.37529918435,9835.80246091985,10036.8898405952,9969.66485397823,10704.2297624759,12115.1392902637,13020.3963185992,14231.1801885329,13312.1138600539
"AUS","Australia",20923.5552047671,22008.9115920568,22972.4878585107,24210.6362668513,25296.2635489631,26343.0767025713,27439.8277870076,28768.7286317056,29807.4095606,31407.4614546007,32653.4016208815,34369.6193939212,36599.8507307471,37499.5251319174,40281.799672065,39336.6634845318,42003.1580559752,42836.6718635909,45906.4400399472,46880.8951800484,46248.6164566389,47255.3070085957,48398.5497014956,50169.1872936523,51748.3977215322,53316.8854335814
"AUT","Austria",23684.6200543557,24553.8401338753,25426.7174051837,26675.0431579236,27606.4830303088,29376.0197364753,29702.7975286074,31178.6933297272,32144.2418052358,33773.825776679,35013.7140443423,37662.1851663577,39430.6091682131,41316.225176699,40918.1321224314,42009.4385277438,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49865.9039424185,52684.0171130768,54172.9867888254,56960.0914258929,58076.348801448,55685.9702933361
