Country,secular,inst con.,open in-groups,prosocial,interest politics,wellbeing,politic engage,individual rights,open out-groups
Latvia,0.546026361,-0.318123087,-0.297282071,-0.164432602,-0.148530957,-0.55428814,0.121054898,0.085716499,0.083733581
Lithuania,0.305344892,-0.272449105,-0.563799084,-0.25139965,-0.134492973,-0.572942945,0.098494513,-0.090780237,-0.101119919
Macedonia,-0.030125913,-0.486301001,-0.262718042,0.170792296,0.011283903,-0.19350149,0.233317075,-0.188812797,-0.126747544
Moldova,-0.124757407,-0.231267799,-0.561722596,-0.522689173,-0.158225987,-0.889754934,-0.313922656,-0.259819696,-0.044680276
Serbia and Montenegro,0.257057724,-0.388834233,-0.387424259,-0.133589631,-0.246727509,-0.391031492,0.053444329,0.058266776,-0.042167569
Romania,-0.363602343,-0.396259687,-0.25100439,0.105341562,-0.409684503,-0.428871007,-0.336056466,-0.236268977,-0.175037634
Slovenia,0.595796482,-0.325529226,0.158037505,-0.016751543,-0.360509241,-0.069147984,0.128979971,0.614909629,-0.054135007
Ukraine,0.19346885,-0.330049833,-0.439264018,-0.346703471,-0.16261898,-0.785093956,-0.320228437,-0.094202604,0.058171585
Taiwan,0.492517561,-0.024922094,-0.461419993,0.080145606,-0.108321985,0.052428382,-0.357368676,0.026015826,-0.06255699
Algeria,-0.720516853,-0.099467486,-0.422507409,-0.070242427,0.016695453,-0.233052844,-0.287829036,-0.584343459,-0.264701398
Canada,0.061146531,0.087654322,0.427229037,0.243163978,0.117959728,0.63399551,0.609848687,0.519292565,0.487731536
Egypt,-0.868414674,0.357851435,-0.700012289,0.307334315,-0.020606212,-0.373609785,-0.380095491,-0.629552745,-0.531402084
Indonesia,-0.928964314,0.221067704,-0.072375626,0.203232025,0.091889232,0.137062003,-0.412501437,-0.841544888,-0.519991788
Iraq,-0.786478777,-0.033008657,-0.371298232,0.224789034,0.298383128,-0.535345621,-0.326586239,-0.871553595,-0.323378363
Iran,-0.727042364,0.259955912,0.310809469,0.157227927,0.143122499,-0.117708471,-0.207046255,-0.686835334,-0.267486534
Jordan,-0.929328714,0.648535217,-0.881255809,0.402755702,-0.018760396,0.029667487,-0.840208968,-0.866052997,-0.618139458
Kyrgyzstan,-0.081061631,-0.104849162,-0.415536592,-0.183301546,0.187517832,-0.098521752,-0.435468805,-0.45755415,-0.188076322
Morocco,-0.970076326,0.000177149,-0.622784669,0.32775736,-0.346544461,-0.25102441,-0.422844548,-0.727794399,-0.106206673
Singapore,-0.296019558,0.144810317,0.030824071,-0.029882701,0.08314697,0.279892394,-0.367130208,-0.233570183,0.012931776
Viet Nam,0.652539777,1.545048752,0.298721178,0.344771631,0.720715832,0.140926698,-0.490988412,-0.58122275,-0.44204632
Zimbabwe,-0.863183075,0.236490555,-0.042539714,0.236813071,-0.042296971,-0.456474691,-0.348304272,-0.839599634,0.009096958
Trinidad and Tobago,-0.674777575,-0.299842352,-0.092348429,0.100519451,-0.127006483,0.393126246,0.064613244,-0.477572169,0.382982243
Cyprus (G),-0.318380988,0.160206383,0.077668955,0.118373665,0.019629741,0.243093824,-0.047853148,-0.080311887,-0.072205573
Ghana,-0.99223062,0.48345334,-0.318080344,0.082086788,0.179475092,0.160496672,-0.411888477,-0.63772061,-0.193438376
Malaysia,-0.659649101,0.65075413,-0.322027684,-0.439756675,0.167257632,0.305334937,-0.558761212,-0.246153367,-0.544607092
